,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,is_success
7154,0.000754,['The Decemberists'],0.48700000000000004,221853,0.81,0,7IxWqdG1zG0gaAFYq2q0Iy,0.0,4,0.35200000000000004,-4.067,0,Down By The Water,48,2011,0.0357,123.493,0.7020000000000001,2011,0
7155,0.244,"['JAY-Z', 'Kanye West', 'Frank Ocean', 'The-Dream']",0.654,272507,0.75,1,7r6PigmGzlB3YPB7wvBBbi,0.0178,8,0.16699999999999998,-7.508999999999999,0,No Church In The Wild,55,2011-08-08,0.105,92.773,0.557,2011,0
7156,0.000552,['Bayside'],0.38799999999999996,214107,0.8909999999999999,0,0p3YVGafB1214KOw5AokGv,0.0246,6,0.336,-3.338,0,"Sick, Sick, Sick",48,2011-01-01,0.0816,172.065,0.5329999999999999,2011,0
7157,0.903,"['AJ Rafael', 'Jesse Barrera']",0.732,248454,0.462,0,6NV8bM1StHDcWMoTVWix1J,0.0,5,0.17600000000000002,-7.962999999999999,1,She Was Mine (feat. Jesse Barrera),57,2011-06-07,0.0363,121.061,0.518,2011,0
7158,0.573,['Christina Perri'],0.237,233480,0.26899999999999996,0,21JTgoZLDB2F4Fx0uRCmTL,0.000283,7,0.10099999999999999,-9.61,0,the lonely,53,2011-05-10,0.0298,81.256,0.0681,2011,0
7159,0.83,['Nature Sounds Nature Music'],0.12,240000,0.998,0,7JSpeGJpsXuRR1Go9pBPXc,0.897,9,0.505,-21.701,1,Tropical Storm,51,2011-02-16,0.0755,147.787,1e-05,2011,0
7160,0.298,"['Andrae Crouch', 'Marvin Winans']",0.355,294813,0.536,0,66mi3OKkrYHZkV9T62Ytyy,0.0,1,0.145,-7.202000000000001,1,Let The Church Say Amen - Radio Edit,48,2011-09-06,0.0461,147.878,0.265,2011,0
7161,0.627,['Dean Martin'],0.68,147293,0.258,0,4qQ8sToR3GNossXlwSlyKz,0.0,9,0.293,-11.995,1,Ain't That A Kick In The Head - Remastered,53,2011-01-01,0.0554,132.056,0.7809999999999999,2011,0
7162,0.00244,['Vaughan Mason and Crew'],0.882,329000,0.589,0,4x9Wm15FC2xCuSPgVl7X7i,0.000981,11,0.214,-7.604,0,"Bounce, Rock, Skate, Roll - Remastered",48,2011-02-08,0.0596,111.14200000000001,0.809,2011,0
7163,0.8640000000000001,['The Strokes'],0.736,182027,0.297,0,6z5mh42xSM54RncKZMM8hS,1.49e-05,2,0.0609,-9.648,1,Call Me Back,54,2011-03-18,0.0349,125.851,0.18600000000000005,2011,0
7164,0.00238,['Get Scared'],0.387,198080,0.929,0,03zRY58mcXQvvwu9Iyy4a4,7.22e-06,7,0.314,-4.825,0,Sarcasm,58,2011,0.161,180.359,0.591,2011,0
7165,0.395,['Childish Gambino'],0.467,270053,0.557,1,1ffy4Bi6ROMpZTxIWyPMKG,0.0,2,0.11800000000000001,-7.482,0,Outside,50,2011-11-15,0.0972,175.274,0.187,2011,0
7166,0.027999999999999997,['Big Time Rush'],0.588,186480,0.86,0,47ji0KfmvI93CMDqppVj8p,0.0,8,0.564,-4.461,1,Elevate,50,2011,0.0767,129.945,0.622,2011,0
7167,0.0005690000000000001,['The Story So Far'],0.507,174573,0.995,0,5vjR4LUikpN6LhpxRWK6k2,1.28e-05,4,0.0686,-2.355,1,Roam,49,2011-06-21,0.0829,123.889,0.21899999999999997,2011,0
7168,0.000184,['Blue Stahli'],0.439,265435,0.915,0,3B0hzwc1e8AYOytj9hZS2I,0.0008990000000000002,2,0.326,-7.077999999999999,0,ULTRAnumb,57,2011-03-02,0.0745,91.993,0.34,2011,0
7169,0.677,['Grupo Laberinto'],0.7559999999999999,177345,0.47700000000000004,0,36hZ7e1xqFtskCjKJyzaUy,7.4999999999999985e-06,7,0.0898,-5.99,1,Quién Eres Tú,50,2011-01-06,0.0606,115.266,0.9670000000000001,2011,0
7170,0.27899999999999997,['Tierra Cali'],0.495,217027,0.862,0,4Eeq5qMOQ8VV5IfPxVX1Zh,3.53e-06,9,0.0619,-4.436,1,Amor Te Amo,49,2011-01-01,0.0746,117.895,0.762,2011,0
