,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,is_success
6080,0.000126,['Disturbed'],0.609,203773,0.843,0,3jYNZPZA5qZHSdSAxBdn5q,0.000239,6,0.0535,-3.9,1,Violence Fetish,43,2000-02-25,0.0369,92.928,0.625,2000,0
6081,0.0256,['Portrait'],0.7709999999999999,235200,0.745,0,5rIr1MOh4cWwpdln1QqTPS,0.00037400000000000004,11,0.107,-10.217,0,Here We Go Again! - Radio Edit,40,2000-01-01,0.0904,106.709,0.599,2000,0
6082,0.000154,['Finger Eleven'],0.409,201467,0.872,0,3JdtnzG1qxSugpXwNuoo9v,5.08e-05,6,0.16699999999999998,-5.2570000000000014,0,Drag You Down,40,2000-01-01,0.111,200.243,0.41200000000000003,2000,0
6083,0.51,['Raphael'],0.27399999999999997,261965,0.742,0,5uyDA5kB1J3CDJgk0Rwfap,0.000147,2,0.324,-5.624,1,A mi manera - 2000 Remastered Version,54,2000-08-17,0.0433,85.493,0.33399999999999996,2000,0
6084,0.10099999999999999,['Billy Gilman'],0.442,249840,0.447,0,3ZdA3QuqHqOJdsczRwT1hg,0.0,0,0.0962,-8.838,1,One Voice,39,2000-06-14,0.0252,149.65200000000004,0.16,2000,1
6085,0.00498,['Orgy'],0.578,205373,0.946,0,6NldY5aZigWeeGIMY41qG6,1.0199999999999999e-05,5,0.26899999999999996,-3.091,0,Fiction - Dreams in Digital,42,2000-09-29,0.0449,119.93799999999999,0.545,2000,0
6086,0.11699999999999999,['Steely Dan'],0.518,277200,0.784,0,49K5azCmY65Ha5IuUaO678,0.0,2,0.0954,-8.924,1,Reelin' In The Years,39,2000-01-01,0.0369,135.25,0.736,2000,0
6087,0.000194,['Pantera'],0.307,160960,0.985,1,1OdavDKvGA15nLfSRqAIpp,0.596,2,0.252,-3.11,1,Hellbound,44,2000-01-01,0.0837,117.507,0.65,2000,0
6088,0.425,['Kelly Price'],0.5770000000000001,380333,0.349,0,5FX8KqBY74jLl0BBTSNl2N,0.0,8,0.134,-7.77,1,As We Lay,40,2000-01-01,0.0312,124.01,0.131,2000,1
6089,0.7929999999999999,['Gary Valenciano'],0.184,309986,0.21899999999999997,0,2Qz6fXjy6tIDrvOcSoOjdD,0.0,3,0.0693,-13.497,1,I Will Be Here,54,2000,0.0302,176.42,0.21,2000,0
6090,0.0288,['Flogging Molly'],0.305,421107,0.95,0,40jxxlPvRrvPLPyAb22bSu,0.00442,11,0.369,-6.527,0,Black Friday Rule,44,2000-03-07,0.192,142.454,0.633,2000,0
6091,0.132,['The Black Crowes'],0.6409999999999999,274027,0.8540000000000001,0,5BxeyZpeEHaFzlhefhWkqd,0.0,7,0.1,-4.628,1,Jealous Again,39,2000-01-01,0.0274,114.43299999999999,0.679,2000,0
6092,0.205,['Bright Eyes'],0.313,272267,0.505,0,3Zo6R22retEhAnQBbam5As,0.0,4,0.0843,-9.406,0,"Sunrise, Sunset",41,2000-05-29,0.0747,167.352,0.237,2000,0
6093,0.223,['Donnie McClurkin'],0.565,246533,0.7090000000000001,0,01CqXno5gFdZEQqhAPp3eq,0.0,1,0.386,-5.475,1,Lord I Lift Your Name On High,41,2000-08-17,0.033,132.132,0.309,2000,0
6094,0.24,['A Perfect Circle'],0.457,144493,0.652,0,2Hx56CKZM6T3ueCP5XSGrm,0.0761,4,0.0612,-11.690999999999999,0,Renholdër,43,2000-01-01,0.0307,89.40799999999999,0.0643,2000,0
6095,0.629,"['Eric Clapton', 'B.B. King']",0.606,516533,0.568,0,3gGKOVwsAVvwt9BcH3k18J,0.00418,11,0.11599999999999999,-5.294,1,Three O'Clock Blues,49,2000-06-13,0.0421,77.067,0.4270000000000001,2000,0
6096,0.89,"['Antonín Dvořák', 'London Symphony Orchestra', 'Sir Colin Davis']",0.154,775307,0.0026100000000000003,0,3jLcwFns5S9OYQojN8XAkJ,0.763,1,0.125,-36.266999999999996,1,"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo - Live",46,2000-01-01,0.0419,83.54899999999998,0.0366,2000,0
6097,0.0712,['D12'],0.8,330333,0.7490000000000001,1,03NIra3KSLDgnqgIiQJNow,0.0,8,0.0929,-6.7170000000000005,0,Shit On You,38,2000-01-01,0.39399999999999996,109.925,0.74,2000,0
6098,0.0829,['Duane Eddy'],0.539,150867,0.74,0,3owKZYdWWzNcThn3NLRkb3,0.893,10,0.39899999999999997,-7.315,1,Peter Gunn,47,2000-01-01,0.0401,123.83,0.726,2000,0
6099,0.016,['South Park Mexican'],0.785,240293,0.7909999999999999,1,36grBPDg2X9tpIDJVxyqw0,1.2e-05,7,0.124,-5.553,1,Hillwood Hustlaz II,38,2000-12-12,0.12,77.001,0.937,2000,0
6100,0.8859999999999999,['John Hartford'],0.51,90427,0.44799999999999995,0,24KOm6f014u1lN5hdONqCb,0.379,7,0.203,-12.42,1,Indian War Whoop,41,2000-12-05,0.0305,115.807,0.28600000000000003,2000,0
6101,0.00555,['A Perfect Circle'],0.35700000000000004,209373,0.599,0,1ScZXVXbtc0nE5SJ23lbfI,0.8140000000000001,1,0.111,-8.304,0,Thomas,43,2000-01-01,0.033,167.82299999999995,0.138,2000,0
6102,0.0814,['MoKenStef'],0.616,253040,0.535,0,20VRVHMwAspwLA207PdKOn,0.0924,11,0.121,-8.789,1,He's Mine,38,2000-01-01,0.0379,64.979,0.391,2000,0
6103,0.775,['Luis Fonsi'],0.56,247800,0.488,0,0LwCtv2JW5yTl5qd91e4tL,0.0,4,0.11800000000000001,-6.287000000000001,1,Imagíname Sin Ti,43,2000-01-01,0.0309,118.21,0.153,2000,0
6104,0.556,['Reflection Eternal'],0.607,238573,0.753,1,0kHIEdWbOvnrvTmRfPtHDN,0.0,10,0.623,-7.3439999999999985,0,Memories Live,44,2000-10-17,0.315,88.98100000000002,0.703,2000,0
6105,0.805,['Fuel'],0.589,269893,0.287,0,4oSEDFCaImn6rbwPzSZlab,5.82e-06,0,0.0925,-9.508,1,Daniel,42,2000-09-19,0.0316,116.351,0.161,2000,0
6106,0.8190000000000001,['John Archambault and David Plummer'],0.88,145547,0.379,0,3aCnWGT8DmlbpAV75McnZR,0.0,7,0.0869,-11.647,1,Chicka Chicka Boom Boom,41,2000,0.0493,135.28,0.682,2000,0
6107,0.0367,['Fastball'],0.5429999999999999,197867,0.958,0,5awZBMKId8PN6ZrQh2Z3Rp,7.05e-06,6,0.27,-3.736,1,You're An Ocean,40,2000-01-01,0.0431,134.08700000000002,0.69,2000,0
6108,0.0238,['Wu-Tang Clan'],0.831,296427,0.5710000000000001,1,7hUNOFpJNxK3EdryB5PqAJ,0.0,11,0.688,-5.648,1,"Careful (Click, Click)",44,2000-11-20,0.303,90.367,0.43799999999999994,2000,0
6109,0.00472,['The Murder City Devils'],0.13699999999999998,231267,0.9309999999999999,0,2cYjCcAXC0Vhp26AM7f4SL,0.6659999999999999,0,0.107,-6.64,1,Press Gang,42,2000-06-06,0.15,167.516,0.172,2000,0
6110,0.00411,['Insane Clown Posse'],0.919,232200,0.785,1,4y8G3pyyBvBKd47iyvHBNj,0.0,1,0.11199999999999999,-4.141,1,My Axe,39,2000-01-01,0.0806,109.045,0.8009999999999999,2000,0
